eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
ASU,component,"Switching Unit, Automatic IEEE",,,IEEE 803.1-1992,
ASV,component,"Valve, Solenoid, Analyzer",,,IEEE 803.1-1992,
AT,component,"Transmitter, Analyzer",,,ISA S5.1-1984,
ATM,component,Attemperator,,,IEEE 803.1-1992,
ATT,component,Attenuator,,,IEEE 803.1-1992,
AY,component,"Relay, Analyzer",,,IEEE 803.1-1992,
BAF,component,Baffle,,,IEEE 803.1-1992,
BAGH,component,Baghouse,,,IEEE 803.1-1992,
BALR,component,Balancer,,,IEEE 803.1-1992,
BAR,component,Barometer,,,IEEE 803.1-1992,
BCS,component,Battery (State of Charge) Condition Sensor,,,IEEE 803.1-1992,
BD,component,Board (Panel),,,IEEE 803.1-1992,code also a SYSTEM (Containment Leakage Control System)
BDMP,component,"Damper, Blocking",,,IEEE 803.1-1992,
BDUC,component,"Duct, Bus",,,IEEE 803.1-1992,
BE,component,"Primary Element, Burner",,,ISA S5.1-1984,code also a SYSTEM (Containment Spray System (PWR))
BEAM,component,Beam,,,IEEE 803.1-1992,
BERM,component,Berm,,,IEEE 803.1-1992,
BFP,component,Backflow Preventer,,,IEEE 803.1-1992,
BHD,component,Bulkhead,,,IEEE 803.1-1992,
BKR,component,Breaker,,,IEEE 803.1-1992,
BLDG,component,Building,,,IEEE 803.1-1992,
BLK,component,Block,,,IEEE 803.1-1992,
BLL,component,Bellows,,,IEEE 803.1-1992,
BLO,component,Blower,,,IEEE 803.1-1992,
BLR,component,Boiler,,,IEEE 803.1-1992,
BLS,component,Ballast,,,IEEE 803.1-1992,
BM,component,Brine Maker,,,IEEE 803.1-1992,code also a SYSTEM (Low Pressure Core Spray System (BWR))
BNR,component,Burner,,,IEEE 803.1-1992,
BRAC,component,Brace,,,IEEE 803.1-1992,
BRDG,component,"Bridge, Structural",,,IEEE 803.1-1992,
BRK,component,Brake,,,IEEE 803.1-1992,
BSKT,component,Basket,,,IEEE 803.1-1992,
BTM,component,Burner Tilt Mechanism,,,IEEE 803.1-1992,
BTRY,component,Battery,,,IEEE 803.1-1992,
BU,component,Bus,,,IEEE 803.1-1992,
BUF,component,Buffer (Isolator) Device,,,IEEE 803.1-1992,
BYBD,component,"Board, Battery",,,IEEE 803.1-1992,
BYC,component,"Charger, Battery",,,IEEE 803.1-1992,
CA,component,"Alarm, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Boron Recycle System (PWR))
CAB,component,Cabinet,,,IEEE 803.1-1992,
CAL,component,Calorimeter,,,IEEE 803.1-1992,
CAP,component,Capacitor,,,IEEE 803.1-1992,
CB,component,"Isolator, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Chemical and Volume Control/Makeup and Purification System (WR))
